Timestamp,Email Address,Confirm Email,"Student Name - Last, First","Parent / Guardian Name(s) - Last, First",Phone Number - (111) 111 - 1111,School,Grade Level,Instrument (First Choice),Level / Experience,Instrument (Second Choice),Level / Experience,Instrument (Third Choice),Level / Experience,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,"Does your child have their own instrument at home? (i.e., piano, saxophone, flute, violin etc.)",Tutoring Location,Keyboard Lending Program,End of the Semester Recital,Previous application with TMC,Tutor Matching,Have any of the student's guardians attended a four-year college?,Does the student qualify for the free or reduced lunch program?
4/13/2020 13:50:33,ahmed.baqai@gmail.com,ahmed.baqai@gmail.com,"Patel, Adi","Patel, Raghov",6696009181,Lynbrook High ,9-12,Viola,1,Bass,2,,,"Before 11am, 11am-1pm, 3pm- 5pm, After 5pm","Before 11am, 11am-1pm, 1pm- 3pm, 3pm- 5pm","11am-1pm, 1pm- 3pm, 3pm- 5pm, After 5pm","11am-1pm, 1pm- 3pm, 3pm- 5pm","Before 11am, 11am-1pm, 3pm- 5pm, After 5pm","Before 11am, 1pm- 3pm, 3pm- 5pm, After 5pm","11am-1pm, 1pm- 3pm, After 5pm",Yes,,Yes,Yes,"No, this is my student's first time applying for lessons with TMC",,Yes,No
4/13/2020 13:57:39,ahmed.baqai@gmail.com,ahmed.baqai@gmail.com,"Pitt, Brad","Pitt, Damon",6696009181,Homestead High,9-12,Flute,1,,,,,"Before 11am, 11am-1pm, 3pm- 5pm, After 5pm","Before 11am, 11am-1pm, 1pm- 3pm, 3pm- 5pm",,"Before 11am, 11am-1pm, 1pm- 3pm, 3pm- 5pm","11am-1pm, 3pm- 5pm, After 5pm","11am-1pm, 1pm- 3pm, After 5pm","Before 11am, 11am-1pm, 3pm- 5pm",Yes,,Yes,Yes,"Yes, my student has previously applied and received lessons with TMC",,No,Yes
4/13/2020 13:58:38,ahmed.baqai@gmail.com,ahmed.baqai@gmail.com,"Charles, James","Charles, Howard",6696009181,Cupertino Middle,6-8,Cello,2,,,,,,"Before 11am, 11am-1pm, 3pm- 5pm","11am-1pm, 3pm- 5pm","Before 11am, 11am-1pm","Before 11am, 11am-1pm","1pm- 3pm, After 5pm",After 5pm,Yes,,Yes,Yes,"No, this is my student's first time applying for lessons with TMC",,Yes,No
4/13/2020 14:00:01,ahmed.baqai@gmail.com,ahmed.baqai@gmail.com,"Dev, Neil","Dev, Ramesh",6696009181,Fremont High ,9-12,Flute,3,Cello,0,Bass,2,"11am-1pm, 3pm- 5pm","Before 11am, 1pm- 3pm, After 5pm","Before 11am, 11am-1pm, 3pm- 5pm","Before 11am, 11am-1pm, 3pm- 5pm","11am-1pm, 1pm- 3pm","1pm- 3pm, After 5pm","11am-1pm, After 5pm",Yes,,Yes,No,"No, this is my student's first time applying for lessons with TMC",,Yes,No
4/13/2020 14:01:04,ahmed.baqai@gmail.com,ahmed.baqai@gmail.com,"Chan, Jackie","Chan, Charlie",6696009181,Lawson Middle,6-8,Clarinet,1,Saxophone,2,,,"11am-1pm, 1pm- 3pm, 3pm- 5pm, After 5pm","11am-1pm, 1pm- 3pm, 3pm- 5pm, After 5pm","11am-1pm, 1pm- 3pm, 3pm- 5pm, After 5pm","11am-1pm, 1pm- 3pm, 3pm- 5pm, After 5pm","11am-1pm, 1pm- 3pm, After 5pm","Before 11am, 11am-1pm, 3pm- 5pm","11am-1pm, 1pm- 3pm, After 5pm",Yes,,Yes,Yes,"Yes, my student has applied for lessons with TMC before but was not placed for lessons",,Yes,No
4/13/2020 14:01:59,ahmed.baqai@gmail.com,ahmed.baqai@gmail.com,"Cena, John","Cena, Jack",6696009181,Cupertino,9-12,Violin,1,Piano,1,,,"11am-1pm, 1pm- 3pm, 3pm- 5pm, After 5pm","Before 11am, 11am-1pm, 1pm- 3pm, After 5pm","Before 11am, 11am-1pm, 1pm- 3pm, 3pm- 5pm","Before 11am, 1pm- 3pm, 3pm- 5pm","Before 11am, 3pm- 5pm, After 5pm",,"1pm- 3pm, 3pm- 5pm, After 5pm",Yes,,Yes,No,"No, this is my student's first time applying for lessons with TMC",,Yes,Yes
4/13/2020 14:03:00,ahmed.baqai@gmail.com,ahmed.baqai@gmail.com,"Ryan, Jack","Ryan, Joe",6696009181,Monta Vista,9-12,Guitar,2,,,,,"11am-1pm, 1pm- 3pm, 3pm- 5pm, After 5pm","11am-1pm, 1pm- 3pm, 3pm- 5pm, After 5pm","11am-1pm, 1pm- 3pm, 3pm- 5pm, After 5pm","11am-1pm, 1pm- 3pm, 3pm- 5pm, After 5pm","Before 11am, 11am-1pm, 3pm- 5pm","Before 11am, 11am-1pm, 3pm- 5pm","11am-1pm, 1pm- 3pm",Yes,,Yes,No,"No, this is my student's first time applying for lessons with TMC",,Yes,No
4/13/2020 23:16:37,123movies@gmail.com,123movies@gmail.com,"Bob, Alice","Eve, Carol",1-800-222-1222,UC ZOOM,K-2,Violin,3,Guitar,0,Oboe,0,Before 11am,1pm- 3pm,"1pm- 3pm, After 5pm","11am-1pm, 1pm- 3pm, After 5pm","Before 11am, 1pm- 3pm",3pm- 5pm,3pm- 5pm,Yes,,Yes,Yes,"Yes, my student has previously applied and received lessons with TMC",,No,No
4/13/2020 23:17:52,helpme@yahoo.com,helpme@yahoo.com,"A, B","C, D",9918274,idk,3-5,Violin,0,,,,,After 5pm,,,11am-1pm,,,"Before 11am, 11am-1pm, 1pm- 3pm, 3pm- 5pm, After 5pm",No,,No,Yes,"Yes, my student has applied for lessons with TMC before but was not placed for lessons",,Yes,No
4/13/2020 23:20:15,prims@aol.com,prims@aol.com,"cjh, asdkfjh","jksadhf, asdfkj",123,ahhhhhhhh,9-12,Flute,3,Clarinet,2,Percussion,1,"11am-1pm, 3pm- 5pm","Before 11am, 1pm- 3pm, 3pm- 5pm, After 5pm",,,11am-1pm,,After 5pm,Yes,,Yes,No,"No, this is my student's first time applying for lessons with TMC",,No,Yes
4/13/2020 23:21:45,blahblah@berkeley.edu,blahblah@berkelely.edu,"berkelee, berk","berkele, leberk",1234567890,go bears,3-5,Cello,2,,,,,Before 11am,Before 11am,Before 11am,Before 11am,Before 11am,Before 11am,Before 11am,No,,Yes,Yes,"Yes, my student has previously applied and received lessons with TMC",,,
4/13/2020 23:22:45,5@gmail.com,5@gmail.com,11,12,911,hawkins,3-5,Clarinet,5,Trombone,2,,,11am-1pm,"11am-1pm, 1pm- 3pm",,,,"Before 11am, 11am-1pm, 1pm- 3pm, 3pm- 5pm, After 5pm",,Yes,,Yes,Yes,"Yes, my student has applied for lessons with TMC before but was not placed for lessons",,,
4/13/2020 23:24:15,6@ucla.edu,6@ucla.edu,"bob, builder","dora, explorer",197192,trump university ,9-12,Flute,1,,,,,Before 11am,,"Before 11am, 11am-1pm, 1pm- 3pm, 3pm- 5pm, After 5pm",,,,"11am-1pm, 1pm- 3pm",Yes,,Yes,Yes,"No, this is my student's first time applying for lessons with TMC",,,
4/13/2020 23:25:38,bloomberg@amazon.com,bloomberg@amazon.com,"michael, page",batteries,1800cars4kids,:) yeee,9-12,Percussion,3,Violin,1,,,,,,"Before 11am, 11am-1pm, 1pm- 3pm, 3pm- 5pm, After 5pm",,3pm- 5pm,"Before 11am, After 5pm",Yes,,Yes,No,"No, this is my student's first time applying for lessons with TMC",,,
4/13/2020 23:27:07,coron@virus.org,corona@virus.org,"quarantine, help",pandemic ,6 ft apart,cancelled ,9-12,Cello,2,Oboe,1,Tuba,2,11am-1pm,"1pm- 3pm, 3pm- 5pm, After 5pm",After 5pm,"Before 11am, 3pm- 5pm","Before 11am, 11am-1pm, 1pm- 3pm, 3pm- 5pm, After 5pm",,,No,,No,Yes,"Yes, my student has previously applied and received lessons with TMC",,,
4/14/2020 20:21:25,xavier.pontiac1@gmail.com,random_email@gmail.com,"Pontiac, Xavier","Pontiac, Ellen",(510) 374 - 1029,Berkeley Middle School,6-8,Viola,3,,,,,"3pm- 5pm, After 5pm","11am-1pm, 1pm- 3pm, 3pm- 5pm, After 5pm","Before 11am, 1pm- 3pm, After 5pm","11am-1pm, 1pm- 3pm, 3pm- 5pm","1pm- 3pm, 3pm- 5pm, After 5pm","1pm- 3pm, 3pm- 5pm, After 5pm","1pm- 3pm, 3pm- 5pm, After 5pm",Yes,,No,Yes,"No, this is my student's first time applying for lessons with TMC",,Yes,No
4/14/2020 20:23:11,enderlee2006@yahoo.com,enderlee2006@yahoo.com,"Lee, Ender","Lee, Helen",(408) 129 - 4829,Berkeley High School,9-12,Trumpet,3,Trombone ,2,,,"3pm- 5pm, After 5pm","3pm- 5pm, After 5pm","3pm- 5pm, After 5pm","3pm- 5pm, After 5pm","3pm- 5pm, After 5pm","11am-1pm, 1pm- 3pm","11am-1pm, 1pm- 3pm",Yes,,No,Yes,"Yes, my student has previously applied and received lessons with TMC",,No,Yes
4/13/2020 13:50:33,ahmed.baqai@gmail.com,ahmed.baqai@gmail.com,"Patel, Adisdf","Patel, Raghov",6696009181,Lynbrook High ,9-12,Bass,1,,,,,,"Before 11am, 11am-1pm, 1pm- 3pm, 3pm- 5pm","11am-1pm, 1pm- 3pm, 3pm- 5pm, After 5pm","11am-1pm, 3pm- 5pm",,"Before 11am, 1pm- 3pm, 3pm- 5pm, After 5pm","11am-1pm, 1pm- 3pm",Yes,,Yes,Yes,"No, this is my student's first time applying for lessons with TMC",,Yes,No
4/13/2020 13:57:39,ahmed.baqai@gmail.com,ahmed.baqai@gmail.com,"Pitt, Bradasdf","Pitt, Damon",6696009181,Homestead High,9-12,Flute,1,,,,,"Before 11am, 11am-1pm, 3pm- 5pm, After 5pm",,"11am-1pm, 1pm- 3pm","Before 11am, 11am-1pm, 1pm- 3pm, 3pm- 5pm",,,"11am-1pm, 3pm- 5pm",Yes,,Yes,Yes,"Yes, my student has previously applied and received lessons with TMC",,No,Yes
4/13/2020 13:58:38,ahmed.baqai@gmail.com,ahmed.baqai@gmail.com,"Charlesjhfas, James","Charles, Howard",6696009181,Cupertino Middle,6-8,Cello,2,,,,,"11am-1pm, 1pm- 3pm, 3pm- 5pm, After 5pm","Before 11am, 11am-1pm, 3pm- 5pm","11am-1pm, 3pm- 5pm",,"Before 11am, 11am-1pm","1pm- 3pm, After 5pm",After 5pm,Yes,,Yes,Yes,"No, this is my student's first time applying for lessons with TMC",,Yes,No
