Timestamp,Email Address,Name,Email,Student ID,Expected Graduation Year,"Race/Ethnicity (feel free to put ""I prefer not to respond"")",Major,Minor,Phone Number,Which instrument(s) would you like to teach?,Years of experience with instrument(s),Grade levels you prefer to work with:,Link to your time availability spreadsheet,Are you interested in In-Class Tutoring?,Are you interested in Private Tutoring?,I have read and agree to the member commitment policy.,I have read and agree to the attendance policy.,Are you a returning or new tutor?,"If you are a returning tutor, would you like to continue with your previous student/school? Please indicate the name of your previous placement if so. If you are a new tutor, please write N/A."
2/7/2020 13:59:45,,,,,2021,,MCB Neurobio,,,Violin,8+ years,"K-3, 3-5, 5-8, 9-12",,Yes,Yes,Yes,Yes,Returning,
2/7/2020 14:14:50,,,,,2021,,Music Major,Education Minor,,Flute,13,"5-8, 9-12",,Yes,Yes,Yes,Yes,Returning,
2/7/2020 14:49:48,,,,,2023,,Molecular Cellular Biology,Music,,Piano,13,"K-3, 3-5, 5-8",,Yes,Yes,Yes,Yes,New,
2/7/2020 15:44:02,,,,,2021,,MCB,Global Public Health,,Guitar,10,"3-5, 5-8",,No,Yes,Yes,Yes,Returning,
2/7/2020 16:23:47,,,,,2022,,Chemical Biology,,,Piano,15,"K-3, 3-5",,No,Yes,Yes,Yes,Returning,
2/7/2020 17:09:56,,,,,2023,,Cognitive Science,,,"Percussion, Piano","piano: 9, percussion: 4","K-3, 3-5",,Yes,Yes,Yes,Yes,New,
2/7/2020 18:18:20,,,,,2022,,Economics,None,,Clarinet,8,"5-8, 9-12",,No,Yes,Yes,Yes,New,
2/7/2020 19:47:01,,,,,2023,,Integrative Biology,Education,,"Bass, Flute, Oboe",Flute (6 years) Bass and oboe (5 years) all on and off,"K-3, 3-5, 5-8, 9-12",,Yes,No,Yes,Yes,New,
2/7/2020 19:49:56,,,,,2023,,Environmental Science,n/a,,"Flute, Percussion","Flute 7 years, mallet percussion 4 years.","5-8, 9-12",,Yes,Yes,Yes,Yes,New,
2/7/2020 21:23:35,,,,,2021,,MCB,Chem,,Flute,8,"3-5, 5-8",,No,Yes,Yes,Yes,Returning,
2/7/2020 22:20:02,,,,,2020,,EECS,,,Violin,15,"K-3, 3-5, 5-8, 9-12",,Yes,Yes,Yes,Yes,New,
2/7/2020 22:34:59,,,,,2023,,Business,,,Voice,8,"3-5, 5-8, 9-12",,Yes,Yes,Yes,Yes,New,
2/7/2020 22:35:30,,,,,2022,,Economics,,,"Piano, Composition",8,"K-3, 3-5, 5-8, 9-12",,No,Yes,Yes,Yes,Returning,
2/7/2020 22:40:59,,,,,2021,,Applied Math,Philosophy,,Piano,6,"K-3, 3-5, 5-8",,Yes,Yes,Yes,Yes,New,
2/7/2020 22:55:19,,,,,2023,,Econ,Data Science,,Piano,10,"K-3, 3-5, 5-8",,Yes,Yes,Yes,Yes,Returning,
2/7/2020 23:21:52,,,,,2021,,Molecular and Cell Biology- Neurobiology concentration,n/a,,Piano,15,K-3,,No,Yes,Yes,Yes,New,
2/8/2020 19:19:57,,,,,2023,,"Data Science, Econ",Music,,"Flute, Piano",Flute: 9 years; Piano: 10 years,"3-5, 5-8",,Yes,Yes,Yes,Yes,New,
2/11/2020 10:32:50,,,,,2023,,Integrative Biology,,,Piano,6,K-3,,Yes,Yes,Yes,Yes,New,
2/14/2020 10:04:58,,,,,2022,,Business Administration,,,Flute,Since 5th grade,"K-3, 3-5, 5-8, 9-12",,No,Yes,Yes,Yes,Returning,
2/14/2020 16:20:09,,,,,2023,,rhetoric/ political science,film or russian language,,Piano,11,"K-3, 3-5, 5-8",,No,Yes,Yes,Yes,New,
